3.22;0.322;682
3.38;0.338;682
3.4;0.34;682
3.78;0.378;682
3.7;0.37;682
3.63;0.363;682
3.72;0.372;682
3.79;0.379;682
3.75;0.375;682
3.83;0.383;682
3.62;0.362;682
3.59;0.359;682
10;0.856;682
10;0.986;682
10;1.18;682
10;1.28;682
10;1.44;682
10;1.54;682
10;1.68;682
10;1.75;682
10;1.77;682
10;1.86;682
10;1.97;682
10;2.15;682
10;2.18;682
10;2.25;682
10;2.3;682
10;2.41;682
10;2.38;682
10;2.43;682
10;2.46;682
10;2.43;682
5;3;682
5;3.15;682
5;2.99;682
5;3.16;682
5;3.07;682
5;2.99;682
5;3.07;682
5;3.16;682
5;3.08;682
5;3.02;682
5;3.23;682
5;3.08;682
5;3.07;682
5;3.1;682
5;3.07;682
5;3.03;682
5;3.41;682
5;3.34;682
5;3.17;682
5;3.12;682
10;2.44;682
10;2.55;682
10;2.53;682
10;2.36;682
10;2.41;682
10;2.54;682
10;2.49;682
10;2.4;682
10;2.37;682
10;2.43;680
10;2.43;678
10;2.48;676
10;2.46;674
10;2.41;672
10;2.4;670
10;2.33;668
10;2.29;666
10;2.35;664
10;2.32;662
10;2.29;660
10;2.35;658
10;2.26;656
10;2.22;654
10;2.34;652
10;2.44;652
10;2.37;652
10;2.44;652
10;2.22;652
10;2.43;652
10;2.47;652
10;1.99;652
10;1.92;652
10;1.96;652
10;1.94;652
10;1.98;652
10;2.01;652
10;1.94;652
10;1.98;652
10;2.01;652
10;1.89;652
10;1.97;652
10;1.97;652
10;2;652
10;2.03;652
10;2.06;652
17.4;1.63;652
24.7;1.7;652
32.1;1.86;652
39.5;2.06;652
46.8;2.35;652
54.2;2.87;652
61.6;3.18;652
68.9;3.52;652
76.3;3.95;652
83.7;4.47;652
91.1;4.94;652
98.4;5.43;652
106;6.17;652
113;7.04;652
121;7.94;652
128;9.03;652
135;10.2;652
143;12;652
150;15.9;652
150;15.8;652
143;11.8;652
135;10.4;652
128;9.08;652
121;8.08;652
113;7.26;652
106;6.28;652
98.4;5.75;652
91.1;5.13;652
83.7;4.69;652
76.3;3.99;652
68.9;3.37;652
61.6;2.98;652
54.2;2.63;652
46.8;2.28;652
39.5;2.09;652
32.1;1.93;652
24.7;1.79;652
17.4;1.81;652
10;2.21;652
100;6.05;652
100;6.18;652
100;6.09;652
100;6.05;652
100;5.99;652
100;6.04;652
100;6;652
100;5.9;652
100;6.02;652
100;6.17;652
100;6;652
100;5.95;652
100;6.03;652
100;6.03;652
100;5.98;652
100;6.04;652
100;6.07;652
100;6.17;652
100;6;652
100;6.1;652
10;1.98;652
10;1.99;651
10;2.12;650
10;2.21;649
10;2.11;648
10;2.16;647
10;2.13;646
10;2.1;645
10;2.13;644
10;2.12;643
10;2.25;642
10;2.15;642
10;2.31;642
10;2.25;642
10;2.44;642
10;2.22;642
10;2.4;642
10;2.35;642
10;2.61;642
10;2.49;642
10;2.53;642
10;2.73;642
10;2.43;642
10;2.4;642
10;2.43;642
10;2.46;642
10;2.32;642
10;2.42;642
10;2.38;642
10;2.23;642
10;2.33;642
10;2.32;642
17.4;2.13;642
24.7;2.1;642
32.1;2.23;642
39.5;2.54;642
46.8;2.95;642
54.2;3.4;642
61.6;4;642
68.9;4.57;642
76.3;5.38;642
83.7;6.07;642
91.1;6.87;642
98.4;7.79;642
106;8.84;642
113;10.1;642
121;10.9;642
128;12.4;642
135;13.8;642
143;15.5;642
150;21.7;642
150;22.3;642
143;15.7;642
135;14;642
128;13;642
121;12;642
113;11.1;642
106;10.3;642
98.4;9.66;642
91.1;9.17;642
83.7;8.77;642
76.3;8.19;642
68.9;7.75;642
61.6;7.3;642
54.2;6.68;642
46.8;6.13;642
39.5;5.78;642
32.1;5.16;642
24.7;5.16;642
17.4;4.75;642
10;4.44;642
